89,9,4
71,21,5
85,7,6
12,32,7
100,25,8
29,45,9
90,9,10
53,44,11
2,49,12
32,1,13
85,47,14
57,25,15
12,37,16
25,7,17
84,24,18
37,46,19
46,32,20
7,3,21
48,31,22
66,15,23
1,2,24
67,13,25
76,2,26
48,33,27
84,29,28
51,12,29
84,48,30
14,2,31
2,7,32
43,12,33
36,14,34
19,8,35
51,42,36
8,36,37
63,11,38
97,41,39
47,7,40
49,6,41
30,39,42
35,6,43
35,22,44
7,11,45
4,21,46
22,16,47
32,43,48
75,48,49
79,6,50
9,11,51
78,5,52
51,22,53
71,49,54
88,49,55
71,25,56
41,19,57
8,20,58
26,25,59
87,49,60
82,34,61
90,41,62
64,18,63
28,9,64
6,37,65
61,45,66
92,44,67
51,1,68
62,46,69
57,24,70
49,38,71
20,2,72
10,36,73
96,49,74
11,17,75
44,38,76
19,35,77
73,37,78
50,44,79
53,41,80
28,7,81
32,50,82
65,27,83
20,24,84
35,12,85
61,3,86
18,8,87
10,13,88
65,25,89
81,5,90
71,43,91
84,39,92
32,34,93
33,8,94
35,38,95
20,37,96
72,13,97
92,23,98
6,41,99
70,40,100
89,15,101
97,11,102
26,13,103
29,29,104
67,16,105
34,17,106
29,34,107
77,46,108
35,38,109
3,33,110
98,3,111
58,12,112
55,2,113
83,20,114
97,9,115
7,23,116
26,27,117
87,31,118
71,19,119
88,40,120
87,9,121
29,9,122
28,31,123
12,18,124
97,1,125
8,11,126
70,37,127
83,14,128
24,23,129
8,50,130
14,14,131
85,40,132
36,48,133
79,30,134
34,30,135
82,38,136
47,14,137
94,42,138
38,50,139
58,4,140
68,37,141
75,8,142
36,31,143
8,18,144
69,26,145
25,22,146
85,2,147
88,49,148
10,43,149
82,42,150
19,21,151
50,36,152
39,6,153
45,4,154
30,38,155
15,5,156
2,14,157
63,39,158
63,24,159
56,26,160
5,7,161
83,25,162
14,33,163
38,9,164
46,30,165
85,9,166
41,35,167
26,29,168
76,37,169
38,1,170
13,10,171
11,25,172
64,4,173
62,14,174
78,35,175
71,30,176
24,20,177
2,10,178
14,9,179
89,23,180
58,48,181
58,17,182
24,36,183
6,3,184
43,11,185
90,27,186
13,27,187
94,18,188
52,47,189
51,32,190
19,14,191
9,15,192
59,44,193
19,20,194
31,10,195
9,30,196
87,6,197
29,13,198
76,31,199
1,48,200
29,50,201
91,4,202
48,25,203
86,26,204
61,12,205
78,33,206
82,21,207
15,5,208
84,40,209
14,1,210
34,10,211
95,35,212
15,34,213
17,47,214
76,40,215
18,4,216
97,48,217
80,42,218
34,14,219
28,1,220
43,13,221
68,3,222
70,18,223
42,25,224
74,23,225
49,22,226
46,25,227
89,15,228
44,43,229
29,2,230
32,2,231
12,18,232
85,38,233
7,9,234
98,2,235
24,15,236
67,25,237
43,18,238
74,11,239
17,26,240
86,32,241
98,31,242
16,39,243
100,39,244
43,46,245
23,15,246
51,30,247
74,15,248
17,35,249
4,9,250
11,8,251
23,31,252
37,21,253
26,28,254
9,18,255
42,8,256
68,26,257
40,17,258
20,35,259
83,48,260
77,15,261
40,46,262
8,2,263
50,15,264
26,42,265
29,19,266
41,32,267
96,15,268
64,28,269
94,38,270
12,40,271
20,2,272
96,10,273
82,49,274
70,48,275
50,49,276
71,50,277
1,28,278
41,23,279
72,13,280
45,50,281
32,14,282
46,8,283
49,3,284
57,5,285
26,21,286
17,48,287
81,26,288
5,38,289
40,7,290
55,41,291
73,5,292
1,18,293
20,47,294
6,50,295
83,50,296
96,7,297
38,50,298
8,41,299
35,48,300
34,32,301
68,43,302
58,34,303
19,4,304
21,14,305
14,32,306
62,30,307
93,35,308
63,27,309
8,21,310
11,43,311
32,34,312
39,35,313
13,15,314
3,49,315
91,24,316
42,25,317
33,41,318
27,6,319
48,41,320
32,15,321
59,37,322
2,36,323
95,25,324
94,42,325
51,15,326
12,13,327
38,33,328
15,20,329
19,11,330
59,7,331
90,13,332
34,7,333
41,25,334
83,34,335
9,46,336
37,38,337
100,25,338
93,1,339
6,21,340
21,24,341
82,41,342
23,35,343
15,43,344
91,49,345
15,15,346
100,15,347
59,38,348
39,11,349
24,23,350
12,13,351
40,12,352
14,34,353
2,20,354
52,40,355
39,15,356
18,47,357
68,32,358
90,50,359
94,48,360
29,45,361
97,37,362
76,15,363
61,38,364
6,43,365
39,11,366
60,48,367
13,49,368
27,19,369
79,35,370
74,49,371
56,8,372
29,47,373
66,36,374
28,37,375
78,38,376
100,23,377
54,3,378
83,31,379
51,27,380
48,11,381
70,10,382
64,4,383
100,37,384
97,26,385
68,3,386
61,14,387
84,29,388
48,16,389
96,39,390
56,10,391
82,21,392
85,31,393
19,31,394
52,41,395
25,46,396
53,5,397
18,4,398
82,35,399
2,33,400
7,42,401
5,31,402
54,28,403
